version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,13-30-003-H-H-000,Q86,Actividades sanitarias,ESCRITURA,"de constitución nº 2.834, de 17/12/2004",11/02/2005
2019/01 situacion a  01/01/2019,13-30-006-H-H-000,R910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,"escritura de constitución nº 1.190, de 21/03/2003",23/05/2003
2019/01 situacion a  01/01/2019,13-30-011-H-H-000,R900,"Actividades de creación, artísticas y espectáculos",ESTATUTOS,Escritura nº 489/10 de 18 febrero 2010,01/07/2010
2019/01 situacion a  01/01/2019,13-30-001-C-C-000,O8425,Protección civil,ESTATUTOS,Orden de 19/06/1992 (BORM nº 142 de 20/06/1992),10/07/1992
2019/01 situacion a  01/01/2019,13-30-002-C-C-000,N8129,Otras actividades de limpieza,ESTATUTOS,Orden de 30/11/1994; B.O.R.M nº 11 de 14/01/95,30/11/1994
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,G461,Intermediarios del comercio,ESTATUTOS,"escritura Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,N791,Actividades de agencias de viajes y operadores turísticos,ESTATUTOS,convenio de 04/03/03 BORM nº 66 de 21/03/03,04/03/2003
2019/01 situacion a  01/01/2019,13-30-014-C-C-000,R9311,Gestión de instalaciones deportivas,ESTATUTOS,Conv. Colab. de 16/10/2002 (BORM 02/11/2002),16/10/2002
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,P8543,Educación universitaria,ESTATUTOS,convenio de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,L6832,Gestión y administración de la propiedad inmobiliaria,ESTATUTOS,convenio de 03/12/2004 BORM nº 297 de 24/12/2004,03/12/2004
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,J6010,Actividades de radiodifusión,ESTATUTOS,"Esc. de const. de 30/03/1984 (Dec. 77/1984, 20-03)",30/03/1984
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,J6020,Actividades de programación y emisión de televisión,ESTATUTOS,"Escr.de const. de 04/11/1982 (Dec. 157/1982, 19-7)",04/11/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-003,J6010,Actividades de radiodifusión,ESTATUTOS,"Esc.de const. de 04/11/1982 (Dec.158/1982, 19-07)",04/11/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-004,J6209,Otros servicios relacionados con las tecnologías de la información y la informática,ESTATUTOS,"Esc. de const. de 20/04/1982 (Dec.60/1982, 01-02)",20/04/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-005,R9001,Artes escénicas,ESTATUTOS,"Esc. de const. de 20/04/1982 (Dec.62/1982, 15-02)",20/04/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-006,O8413,Regulación de la actividad económica y contribución a su mayor eficiencia,ESCRITURA,"de const. de 21/09/1981 (Ley 5/1981, 10-6)",21/09/1981
2019/01 situacion a  01/01/2019,15-00-000-B-P-007,F4110,Promoción inmobiliaria,ESCRITURA,"de const. de 30/09/1985 (Dec.288/1985, 24-09)",30/09/1985
2019/01 situacion a  01/01/2019,15-00-000-B-P-008,K6499,"Otros servicios financieros, excepto seguros y fondos de pensiones n.c.o.p.",ESCRITURA,"de const. de 04/10/1985 (Dec.294/1985, 17-09)",04/10/1985
2019/01 situacion a  01/01/2019,15-00-000-B-P-010,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,"Esc.de const. de 26/01/1983 (Dec. 218/1982, 08-11)",26/01/1983
2019/01 situacion a  01/01/2019,15-00-000-B-P-011,F4110,Promoción inmobiliaria,ESTATUTOS,"Esc.const. de 02/03/1983 (Dec.241/1982, 20-12)",02/03/1983
2019/01 situacion a  01/01/2019,15-00-000-B-P-013,H4910,Transporte interurbano de pasajeros por ferrocarril,ESTATUTOS,"Escr.de const. de 25/06/1982 (Dec.105/1982, 24-05)",25/06/1982
2019/01 situacion a  01/01/2019,15-00-000-B-P-014,M72,Investigación y desarrollo,ESTATUTOS,"de compra-venta 03/06/1988 (Dec.132/1988, 24/05)",03/06/1988
2019/01 situacion a  01/01/2019,15-00-000-B-P-017,O8413,Regulación de la actividad económica y contribución a su mayor eficiencia,ESTATUTOS,"Esc.const.nº621 de 29/03/1983 (Dec.19/1988, 14-02)",29/03/1983
2019/01 situacion a  01/01/2019,15-00-000-B-P-018,O8413,Regulación de la actividad económica y contribución a su mayor eficiencia,ESCRITURA,"de const.nº8086 de 30-12-1983 (Dec.279/1983, 19-12",30/12/1983
2019/01 situacion a  01/01/2019,15-00-000-B-P-023,F4110,Promoción inmobiliaria,ESTATUTOS,"Esc. de const. de 12/02/1990 (Dec.258/1989, 21-11)",26/03/1990
